Category: All categories

Month,lambda school: (United States),app academy: (United States),flatiron school: (United States)
2011-01,4,19,1
2011-02,5,15,2
2011-03,6,16,3
2011-04,4,13,2
2011-05,3,13,4
2011-06,4,17,2
2011-07,4,19,2
2011-08,2,19,1
2011-09,4,24,1
2011-10,5,30,1
2011-11,2,30,2
2011-12,5,31,1
2012-01,4,36,1
2012-02,4,36,1
2012-03,6,50,4
2012-04,5,37,1
2012-05,4,43,1
2012-06,4,35,2
2012-07,3,29,2
2012-08,6,36,3
2012-09,5,60,3
2012-10,5,60,5
2012-11,5,59,5
2012-12,3,55,6
2013-01,6,60,3
2013-02,5,60,4
2013-03,5,61,6
2013-04,6,84,7
2013-05,3,75,10
2013-06,2,66,7
2013-07,3,52,12
2013-08,3,73,12
2013-09,4,92,9
2013-10,4,99,8
2013-11,5,72,8
2013-12,1,72,7
2014-01,4,75,8
2014-02,4,70,12
2014-03,4,78,14
2014-04,3,62,23
2014-05,4,62,11
2014-06,3,57,11
2014-07,3,58,13
2014-08,2,72,11
2014-09,4,74,12
2014-10,4,67,10
2014-11,3,68,10
2014-12,1,64,13
2015-01,5,72,17
2015-02,7,68,19
2015-03,5,76,29
2015-04,4,74,34
2015-05,3,94,20
2015-06,3,69,45
2015-07,3,64,27
2015-08,4,82,24
2015-09,5,83,18
2015-10,4,85,18
2015-11,3,83,14
2015-12,2,77,16
2016-01,2,74,13
2016-02,4,80,13
2016-03,4,85,13
2016-04,4,78,20
2016-05,2,80,16
2016-06,3,66,15
2016-07,3,61,16
2016-08,2,83,22
2016-09,4,100,15
2016-10,3,86,15
2016-11,4,73,11
2016-12,1,72,12
2017-01,3,78,17
2017-02,5,75,17
2017-03,5,73,19
2017-04,3,75,20
2017-05,4,71,18
2017-06,5,70,19
2017-07,6,65,22
2017-08,6,82,21
2017-09,7,81,16
2017-10,7,76,27
2017-11,8,68,17
2017-12,8,61,27
2018-01,9,80,25
2018-02,9,69,23
2018-03,10,57,17
2018-04,9,54,23
2018-05,10,55,29
2018-06,12,51,26
2018-07,13,64,26
2018-08,19,70,35
2018-09,18,71,28
2018-10,16,76,32
2018-11,21,64,31
2018-12,26,64,30
