Category: All categories

Week,lambda school: (United States),app academy: (United States),flatiron school: (United States)
2017-01-01,10,94,23
2017-01-08,2,100,27
2017-01-15,2,75,19
2017-01-22,5,74,23
2017-01-29,5,94,15
2017-02-05,6,79,21
2017-02-12,3,88,17
2017-02-19,6,76,21
2017-02-26,7,91,21
2017-03-05,6,86,18
2017-03-12,4,72,20
2017-03-19,6,63,24
2017-03-26,5,78,20
2017-04-02,5,87,26
2017-04-09,2,71,20
2017-04-16,11,64,22
2017-04-23,5,69,20
2017-04-30,5,84,17
2017-05-07,6,88,22
2017-05-14,6,80,19
2017-05-21,6,62,14
2017-05-28,6,78,15
2017-06-04,6,76,22
2017-06-11,10,83,29
2017-06-18,6,56,16
2017-06-25,4,81,14
2017-07-02,2,56,24
2017-07-09,11,92,23
2017-07-16,2,63,28
2017-07-23,3,62,23
2017-07-30,6,79,23
2017-08-06,13,79,21
2017-08-13,11,76,17
2017-08-20,6,74,33
2017-08-27,6,69,21
2017-09-03,8,91,28
2017-09-10,7,89,18
2017-09-17,5,86,20
2017-09-24,5,81,22
2017-10-01,5,83,14
2017-10-08,8,95,21
2017-10-15,6,79,37
2017-10-22,8,80,65
2017-10-29,13,90,31
2017-11-05,13,79,20
2017-11-12,7,81,20
2017-11-19,5,64,17
2017-11-26,6,78,23
2017-12-03,9,79,24
2017-12-10,9,79,30
2017-12-17,7,63,17
2017-12-24,9,59,38
2017-12-31,8,67,38
2018-01-07,10,96,17
2018-01-14,13,87,29
2018-01-21,15,82,20
2018-01-28,16,78,30
2018-02-04,9,69,33
2018-02-11,7,75,26
2018-02-18,14,67,21
2018-02-25,9,63,23
2018-03-04,7,88,18
2018-03-11,9,54,30
2018-03-18,13,73,22
2018-03-25,11,63,15
2018-04-01,10,61,19
2018-04-08,17,59,32
2018-04-15,6,49,26
2018-04-22,15,63,25
2018-04-29,10,75,27
2018-05-06,16,55,27
2018-05-13,9,49,38
2018-05-20,6,57,32
2018-05-27,12,69,27
2018-06-03,10,58,30
2018-06-10,13,58,22
2018-06-17,9,60,35
2018-06-24,10,61,24
2018-07-01,9,58,25
2018-07-08,8,66,37
2018-07-15,14,58,27
2018-07-22,19,67,37
2018-07-29,16,73,37
2018-08-05,23,81,34
2018-08-12,15,86,36
2018-08-19,18,86,32
2018-08-26,19,80,33
2018-09-02,29,85,33
2018-09-09,12,80,36
2018-09-16,23,98,29
2018-09-23,20,68,32
2018-09-30,25,88,37
2018-10-07,24,91,33
2018-10-14,13,81,23
2018-10-21,14,78,33
2018-10-28,22,84,26
2018-11-04,15,78,38
2018-11-11,30,64,31
2018-11-18,17,59,22
2018-11-25,23,74,33
2018-12-02,27,72,30
