Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs","Files Uploaded","Messages from Users",Name,"Public Workspace Channels","Messages Posted","Messages from Apps"
2017-03-16,3,3,0,3,2,3,2,16,0,0,0,1,0,0,0.8235,0,0.1765,0,16,0,2,27,0
2017-03-17,32,32,0,32,13,32,13,107,0,0,23,0.8231,0,0.1769,0.879,0,0.121,0,130,0,3,260,0
2017-03-18,39,39,0,30,10,39,18,26,0,0,2,0.9286,0,0.0714,0.9451,0,0.0549,0,28,0,4,338,0
2017-03-19,44,44,0,35,6,44,22,4,0,0,8,0.3333,0,0.6667,0.8944,0,0.1056,0,12,0,4,382,0
2017-03-20,60,60,0,48,14,59,27,56,0,0,2,0.9655,0,0.0345,0.9669,0,0.0331,1,58,0,4,519,0
2017-03-21,67,67,0,56,32,66,40,348,0,0,72,0.8286,0,0.1714,0.957,0,0.043,2,420,0,4,989,0
2017-03-22,71,71,0,47,15,70,42,156,0,0,17,0.9017,0,0.0983,0.9623,0,0.0377,1,173,0,4,1183,0
2017-03-23,72,72,0,52,24,71,48,169,20,0,32,0.7647,0.0905,0.1448,0.8613,0.0825,0.0562,2,221,0,4,1420,0
2017-03-24,73,73,0,59,22,71,49,95,12,0,49,0.609,0.0769,0.3141,0.9013,0.0258,0.0729,1,156,0,4,1583,0
2017-03-25,73,73,0,40,14,70,49,24,2,0,3,0.8276,0.069,0.1034,0.9301,0.0524,0.0175,0,29,0,4,1613,0
2017-03-26,73,73,0,32,5,69,49,19,0,0,0,1,0,0,0.9643,0.0357,0,0,19,0,4,1632,0
2017-03-27,73,73,0,48,16,69,48,31,14,0,57,0.3039,0.1373,0.5588,0.6492,0.0907,0.2601,0,102,0,4,1734,0
2017-03-28,75,75,0,56,18,71,39,105,2,0,6,0.9292,0.0177,0.0531,0.9715,0.0104,0.0181,1,113,0,4,1853,0
2017-03-29,75,75,0,44,8,70,38,49,4,0,7,0.8167,0.0667,0.1167,0.8863,0.0824,0.0314,0,60,0,4,1910,0
2017-03-30,75,75,0,46,10,70,33,128,7,0,33,0.7619,0.0417,0.1964,0.8557,0.0435,0.1009,1,168,0,4,2079,0
2017-03-31,75,75,0,45,11,66,29,55,2,0,18,0.7333,0.0267,0.24,0.913,0.0072,0.0797,0,75,0,4,2156,0
2017-04-01,75,75,0,32,6,67,25,94,4,0,2,0.94,0.04,0.02,0.9288,0.0569,0.0142,0,100,0,4,2257,0
2017-04-02,75,75,0,29,5,67,25,10,15,0,1,0.3846,0.5769,0.0385,0.656,0.336,0.008,1,26,0,4,2285,0
2017-04-03,75,75,0,36,9,64,24,26,14,0,26,0.3939,0.2121,0.3939,0.6473,0.1473,0.2054,0,66,0,4,2351,0
2017-04-04,75,75,0,49,14,65,22,56,14,0,25,0.5895,0.1474,0.2632,0.8404,0.0747,0.0848,0,95,0,4,2452,0
2017-04-05,75,75,0,32,3,65,21,5,0,0,0,1,0,0,1,0,0,0,5,0,4,2457,0
2017-04-06,76,76,0,40,15,67,24,5,2,0,102,0.0459,0.0183,0.9358,0.33,0.0539,0.6162,3,109,0,4,2577,0
2017-04-07,77,77,0,49,15,66,25,45,16,0,58,0.3782,0.1345,0.4874,0.7509,0.0842,0.1649,2,119,0,5,2708,0
2017-04-08,77,77,0,35,6,63,26,4,18,0,2,0.1667,0.75,0.0833,0.5655,0.4069,0.0276,1,24,0,5,2733,0
2017-04-09,77,77,0,26,9,63,26,2,27,0,39,0.0294,0.3971,0.5735,0.201,0.488,0.311,0,68,0,5,2801,0
2017-04-10,78,78,0,44,12,63,26,9,94,0,59,0.0556,0.5802,0.3642,0.2495,0.567,0.1835,0,162,0,5,2978,0
2017-04-11,78,78,0,29,15,60,26,0,472,0,378,0,0.5553,0.4447,0.0094,0.784,0.2066,20,850,0,5,3845,0
2017-04-12,78,78,0,27,16,59,26,5,105,0,273,0.0131,0.2742,0.7128,0.0468,0.5505,0.4027,11,383,0,5,4242,0
2017-04-13,78,78,0,43,23,58,27,26,213,0,134,0.0697,0.571,0.3592,0.1754,0.6695,0.1551,6,373,0,5,4641,0
2017-04-14,78,78,0,28,15,56,26,0,122,0,276,0,0.3065,0.6935,0.0179,0.526,0.4562,1,398,0,5,5038,0
2017-04-15,78,78,0,38,14,56,26,9,121,0,434,0.016,0.2145,0.7695,0.064,0.3523,0.5837,21,564,0,5,5623,0
2017-04-16,78,78,0,21,9,57,26,0,21,0,36,0,0.3684,0.6316,0.0362,0.6697,0.2941,0,57,0,5,5679,0
2017-04-17,77,77,0,37,13,58,28,15,33,0,39,0.1724,0.3793,0.4483,0.2898,0.4245,0.2857,2,87,0,5,5774,0
2017-04-18,77,77,0,42,16,58,28,4,102,0,227,0.012,0.3063,0.6817,0.1165,0.4378,0.4458,6,333,0,5,6113,0
2017-04-19,78,78,0,48,16,59,29,25,23,0,341,0.0643,0.0591,0.8766,0.2032,0.1097,0.6871,13,389,0,5,6521,0
2017-04-20,79,79,0,34,16,58,27,1,79,0,196,0.0036,0.2862,0.7101,0.0748,0.4339,0.4913,5,276,0,5,6812,0
2017-04-21,79,79,0,43,15,58,28,8,141,0,35,0.0435,0.7663,0.1902,0.1346,0.7768,0.0886,4,184,0,5,7001,0
2017-04-22,79,79,0,22,10,59,26,0,135,0,70,0,0.6585,0.3415,0.0151,0.8339,0.151,1,205,0,5,7206,0
2017-04-23,79,79,0,19,8,59,26,0,26,0,12,0,0.6842,0.3158,0.0469,0.7969,0.1563,0,38,0,5,7244,0
2017-04-24,79,79,0,31,11,59,24,5,20,0,20,0.1111,0.4444,0.4444,0.3684,0.4276,0.2039,0,45,0,5,7292,0
2017-04-25,80,80,0,39,14,60,24,5,189,0,10,0.0245,0.9265,0.049,0.0692,0.9135,0.0173,0,204,0,5,7498,0
2017-04-26,81,81,0,40,14,60,26,27,74,0,150,0.1076,0.2948,0.5976,0.2395,0.4031,0.3573,0,251,0,5,7754,0
2017-04-27,82,82,0,43,17,61,24,14,55,0,272,0.0411,0.1613,0.7977,0.1702,0.2875,0.5423,2,341,0,5,8103,0
2017-04-28,82,82,0,41,12,60,23,6,32,0,114,0.0395,0.2105,0.75,0.2721,0.2676,0.4603,0,152,0,5,8256,0
2017-04-29,83,83,0,31,10,60,23,0,324,0,33,0,0.9076,0.0924,0.0143,0.9566,0.0291,3,357,0,5,8616,0
2017-04-30,83,83,0,40,13,61,26,19,45,0,23,0.2184,0.5172,0.2644,0.3704,0.5324,0.0972,1,87,0,5,8704,0
2017-05-01,83,83,0,33,10,62,24,37,22,0,34,0.3978,0.2366,0.3656,0.6369,0.1935,0.1696,0,93,0,5,8797,0
2017-05-02,84,84,0,38,11,64,27,33,114,0,31,0.1854,0.6404,0.1742,0.3458,0.5884,0.0658,2,178,0,5,8982,0
2017-05-03,84,84,0,44,20,65,31,34,264,0,138,0.078,0.6055,0.3165,0.118,0.7592,0.1228,2,436,0,5,9421,0
2017-05-04,84,84,0,39,16,63,28,17,189,0,95,0.0565,0.6279,0.3156,0.1077,0.7571,0.1352,3,301,0,5,9724,0
2017-05-05,84,84,0,28,14,61,27,9,228,0,49,0.0315,0.7972,0.1713,0.074,0.8553,0.0706,1,286,0,5,10015,0
2017-05-06,84,84,0,25,11,59,27,6,314,0,71,0.0153,0.8031,0.1816,0.0491,0.8729,0.078,1,391,0,5,10407,0
2017-05-07,84,84,0,22,9,59,25,4,70,0,12,0.0465,0.814,0.1395,0.0685,0.8669,0.0645,3,86,0,5,10495,0
2017-05-08,86,86,0,28,9,60,23,0,53,0,69,0,0.4344,0.5656,0.0895,0.5494,0.3611,0,122,0,5,10624,0
2017-05-09,93,93,0,30,14,64,26,0,176,0,217,0,0.4478,0.5522,0.0395,0.6425,0.318,2,393,0,5,11045,0
2017-05-10,93,93,0,27,11,58,22,6,266,0,121,0.0153,0.6768,0.3079,0.0264,0.8532,0.1204,4,393,0,5,11451,0
2017-05-11,93,93,0,16,11,54,20,0,76,0,163,0,0.318,0.682,0.0109,0.5358,0.4533,1,239,0,5,11692,0
2017-05-12,93,93,0,17,13,50,18,0,207,0,85,0,0.7089,0.2911,0.003,0.8766,0.1204,0,292,0,5,11986,0
2017-05-13,93,93,0,14,10,50,18,1,241,0,36,0.0036,0.8669,0.1295,0.0081,0.9434,0.0485,4,278,0,5,12269,0
2017-05-14,93,93,0,21,6,52,17,3,19,0,0,0.1364,0.8636,0,0.2797,0.7203,0,1,22,0,5,12292,0
2017-05-15,97,97,0,34,9,53,19,13,28,0,62,0.1262,0.2718,0.6019,0.3495,0.3526,0.2979,0,103,0,5,12410,0
2017-05-16,97,97,0,25,12,52,16,0,188,0,107,0,0.6373,0.3627,0.021,0.7896,0.1894,1,295,0,5,12706,0
2017-05-17,97,97,0,21,13,49,16,2,98,0,227,0.0061,0.2997,0.6942,0.042,0.4562,0.5018,2,327,0,5,13035,0
2017-05-18,97,97,0,16,10,49,16,0,131,0,45,0,0.7443,0.2557,0.0129,0.8486,0.1385,3,176,0,5,13214,0
2017-05-19,97,97,0,24,13,50,16,1,224,0,52,0.0036,0.8087,0.1877,0.0229,0.8873,0.0897,0,277,0,5,13491,0
2017-05-20,97,97,0,15,11,50,16,0,207,0,170,0,0.5491,0.4509,0.0014,0.7928,0.2058,0,377,0,5,13871,0
2017-05-21,97,97,0,14,7,51,16,0,8,0,14,0,0.3636,0.6364,0.033,0.6374,0.3297,3,22,0,5,13896,0
2017-05-22,98,98,0,15,6,44,15,0,21,0,12,0,0.6364,0.3636,0.088,0.808,0.104,1,33,0,5,13938,0
2017-05-23,98,98,0,19,9,41,15,0,306,0,64,0,0.827,0.173,0.006,0.9314,0.0626,2,370,0,5,14310,0
