,level_0,index,Date,Total Users,Full Members,Guests,Daily Active Users,Daily Users Posting Messages,Weekly Active Users,Weekly Users Posting Messages,Messages in Public Channels,Messages in Private Channels,Messages in Shared Channels,Messages in DMs,% of Messages Posted in Public Channels,% of Messages Posted in Private Channels,% of Messages Posted in DMs,% of Messages Read in Public Channels,% of Messages Read in Private Channels,% of Messages Read in DMs,Files Uploaded,Messages from Users,Name,Public Workspace Channels,Messages Posted,Messages from Apps,google
0,0,512,2018-08-10,1038,1034,4,685,577,826,708,1295,4470,0,13194,0.0683,0.2358,0.6959,0.2358,0.5222,0.242,332,18959,0,395,3399616,0,21
1,1,513,2018-08-11,1041,1037,4,619,325,827,708,368,894,0,3587,0.0759,0.1844,0.7397,0.2779,0.4444,0.2777,132,4849,0,395,3404809,0,47
2,2,514,2018-08-12,1041,1037,4,502,196,827,708,303,285,0,3197,0.0801,0.0753,0.8446,0.4041,0.1556,0.4403,86,3785,0,397,3408702,1,83
3,3,515,2018-08-13,1044,1040,4,683,487,832,712,642,6453,0,12134,0.0334,0.3356,0.631,0.1998,0.5651,0.2351,296,19229,0,398,3428810,1,31
4,4,516,2018-08-14,1051,1047,4,726,587,835,716,659,6064,0,15736,0.0293,0.27,0.7007,0.1151,0.6676,0.2173,314,22459,0,398,3452385,6,61
5,5,517,2018-08-15,1054,1050,4,747,599,828,715,1055,5359,0,14755,0.0498,0.2532,0.6970000000000001,0.2007,0.5355,0.2638,415,21169,0,397,3473042,1,21
6,6,518,2018-08-16,1059,1055,4,720,591,826,710,856,5617,0,14968,0.0399,0.262,0.6981,0.1474,0.6141,0.2384,403,21441,0,398,3495663,1,21
7,7,519,2018-08-17,1065,1061,4,735,601,838,714,880,4995,0,15857,0.0405,0.2298,0.7297,0.2198,0.4933,0.2869,311,21732,0,400,3518667,7,42
8,8,520,2018-08-18,1069,1065,4,625,340,837,716,277,790,0,3420,0.0617,0.1761,0.7622,0.2926,0.4522,0.2553,90,4487,0,400,3523693,0,24
9,9,521,2018-08-19,1072,1068,4,489,178,844,717,161,514,0,1485,0.0745,0.23800000000000002,0.6875,0.4247,0.2916,0.2837,42,2160,0,401,3526115,0,0
10,10,522,2018-08-20,1075,1071,4,748,550,850,728,397,4227,0,13017,0.0225,0.2396,0.7379,0.193,0.5135,0.2935,246,17641,0,403,3544742,2,41
11,11,523,2018-08-21,1085,1081,4,739,590,857,732,548,5767,0,14256,0.0266,0.2803,0.693,0.1273,0.6226,0.2501,288,20571,0,402,3566456,0,61
12,12,524,2018-08-22,1091,1088,3,757,589,868,737,1125,3792,0,16377,0.0528,0.1781,0.7691,0.2509,0.4207,0.3283,373,21294,0,400,3589789,3,21
13,13,525,2018-08-23,1103,1100,3,752,594,878,740,714,6139,0,16443,0.0306,0.2635,0.7058,0.1445,0.6058,0.2497,299,23296,0,400,3614316,23,41
14,14,526,2018-08-24,1103,1100,3,793,578,891,768,683,3384,0,13200,0.0396,0.196,0.7645,0.2436,0.4701,0.2863,282,17267,0,401,3632799,2,21
15,15,527,2018-08-25,1103,1100,3,663,331,889,771,287,825,0,3615,0.0607,0.1745,0.7648,0.3008,0.4372,0.262,66,4727,0,403,3637901,0,24
16,16,528,2018-08-26,1104,1101,3,536,188,895,773,107,324,0,2310,0.039,0.1182,0.8428,0.3847,0.2152,0.4001,74,2741,0,403,3640991,0,0
17,17,529,2018-08-27,1105,1102,3,762,609,888,787,1155,5672,0,13568,0.0566,0.2781,0.6653,0.2005,0.6066,0.1929,264,20395,0,404,3662628,1,51
18,18,530,2018-08-28,1106,1103,3,789,658,887,787,1285,6930,0,15748,0.0536,0.2892,0.6572,0.1698,0.6562,0.174,446,23963,0,406,3687995,0,60
19,19,531,2018-08-29,1103,1100,3,780,648,886,783,1374,6319,0,15382,0.0595,0.2738,0.6666,0.2393,0.5389,0.2218,384,23075,0,408,3712459,4,60
20,20,532,2018-08-30,1106,1103,3,801,659,889,779,976,5901,0,14221,0.0463,0.2797,0.674,0.1604,0.6538,0.1858,357,21098,0,410,3734890,3,60
21,21,533,2018-08-31,1110,1107,3,793,655,888,774,1280,4933,0,15014,0.0603,0.2324,0.7073,0.2563,0.4975,0.2462,378,21227,0,407,3757431,28,21
22,22,534,2018-09-01,1113,1110,3,658,335,892,776,312,555,0,3726,0.0679,0.1208,0.8112,0.4132,0.2426,0.3442,56,4593,0,407,3762447,0,0
23,23,535,2018-09-02,1113,1110,3,499,186,888,774,146,237,0,2719,0.0471,0.0764,0.8765,0.3964,0.1603,0.4433,34,3102,0,407,3764949,0,36
24,24,536,2018-09-03,1113,1110,3,601,231,885,764,231,708,0,2007,0.0784,0.2403,0.6813,0.4339,0.3401,0.226,84,2946,0,408,3768472,2,23
25,25,537,2018-09-04,1119,1116,3,758,599,887,767,747,4582,0,12796,0.0412,0.2528,0.706,0.1864,0.5788,0.2348,262,18125,0,408,3787712,2,89
26,26,538,2018-09-05,1122,1119,3,775,634,890,769,1590,5899,0,13893,0.0744,0.2759,0.6498,0.2324,0.5625,0.2051,361,21382,0,410,3810316,1,78
27,27,539,2018-09-06,1129,1126,3,836,663,900,777,1673,6342,0,16370,0.0686,0.2601,0.6713,0.2199,0.5859,0.1942,399,24385,0,410,3836231,2,58
28,28,540,2018-09-07,1129,1126,3,797,663,893,767,1030,5180,0,17348,0.0437,0.2199,0.7364,0.1874,0.5445,0.2681,365,23558,0,414,3861238,11,68
29,29,541,2018-09-08,1134,1131,3,671,362,894,774,257,918,0,5270,0.0399,0.1424,0.8177,0.2484,0.364,0.3876,124,6445,0,415,3868124,0,23
30,30,542,2018-09-09,1135,1132,3,573,266,896,781,150,609,0,2594,0.0447,0.1816,0.7736,0.3475,0.2896,0.3629,75,3353,0,415,3871563,0,0
31,31,543,2018-09-10,1135,1132,3,781,592,907,790,1226,6589,0,14535,0.0549,0.2948,0.6503,0.1883,0.5893,0.2224,380,22350,0,415,3895123,5,19
32,32,544,2018-09-11,1137,1134,3,809,671,908,792,1214,5696,0,15358,0.0545,0.2558,0.6897,0.1925,0.5488,0.2587,372,22268,0,415,3918641,2,19
33,33,545,2018-09-12,1139,1136,3,830,646,918,796,1407,5239,0,15401,0.0638,0.2376,0.6986,0.2428,0.5124,0.2447,435,22047,0,414,3942045,1,0
34,34,546,2018-09-13,1143,1140,3,808,649,912,795,1031,5113,0,16262,0.046,0.2282,0.7258,0.1821,0.5607,0.2572,375,22406,0,414,3965602,2,59
35,35,547,2018-09-14,1155,1152,3,819,680,926,804,1200,5074,0,15907,0.0541,0.2288,0.7171,0.2309,0.51,0.2591,372,22181,0,414,3988966,6,20
36,36,548,2018-09-15,1163,1160,3,720,401,938,809,317,1913,0,5350,0.0418,0.2524,0.7058,0.2261,0.46799999999999997,0.3059,123,7580,0,419,3996754,0,35
37,37,549,2018-09-16,1164,1161,3,557,239,938,811,166,423,0,2088,0.062,0.158,0.78,0.42700000000000005,0.2547,0.3182,60,2677,0,420,3999502,0,23
38,38,550,2018-09-17,1166,1163,3,821,623,944,825,1133,3413,0,12717,0.0656,0.1977,0.7367,0.2412,0.4977,0.2611,317,17263,0,421,4017752,3,59
39,39,551,2018-09-18,1169,1166,3,843,696,948,827,1293,5195,0,14599,0.0613,0.2464,0.6923,0.1904,0.5834,0.2262,349,21087,0,423,4039963,4,38
40,40,552,2018-09-19,1172,1169,3,835,684,943,827,1734,5970,0,15862,0.0736,0.2533,0.6731,0.2201,0.5737,0.2062,469,23566,0,424,4064802,10,49
41,41,553,2018-09-20,1172,1169,3,845,687,940,821,1901,6015,0,17121,0.0759,0.2402,0.6838,0.2532,0.5127,0.2342,435,25037,0,426,4091153,4,49
42,42,554,2018-09-21,1176,1173,3,838,678,944,822,1163,5896,0,16969,0.0484,0.2454,0.7062,0.1869,0.5686,0.2445,332,24028,0,427,4116170,6,50
43,43,555,2018-09-22,1181,1178,3,746,393,950,822,601,1313,0,5496,0.0811,0.1772,0.7417,0.3252,0.3921,0.2826,143,7410,0,430,4123824,3,0
44,44,556,2018-09-23,1185,1182,3,570,231,951,827,170,678,0,1874,0.0625,0.2491,0.6885,0.4202,0.2378,0.342,55,2722,0,430,4126562,1,23
45,45,557,2018-09-24,1185,1182,3,876,579,964,822,746,3036,0,14027,0.0419,0.1705,0.7876,0.2373,0.4336,0.3292,318,17809,0,430,4145571,8,58
46,46,558,2018-09-25,1192,1189,3,835,666,968,819,934,5158,0,15967,0.0423,0.2338,0.7238,0.1606,0.5644,0.275,364,22059,0,432,4168701,5,29
47,47,559,2018-09-26,1196,1193,3,832,656,966,812,1494,3749,0,16503,0.0687,0.1724,0.7589,0.2635,0.4049,0.3316,407,21746,0,436,4191587,6,68
48,48,560,2018-09-27,1198,1195,3,837,680,969,809,1183,6057,0,18775,0.0455,0.2328,0.7217,0.1623,0.5759,0.2618,420,26015,0,441,4218909,4,20
49,49,561,2018-09-28,1205,1201,4,831,604,972,839,1051,4098,0,13387,0.0567,0.2211,0.7222,0.2101,0.4845,0.3054,300,18536,0,446,4238313,8,20
